date,H,Q,S,dH,Qs
2016-01-01,42.80142857142857,363.42857142857144,0.8390477875623363,0.0,26346.292311808807
2016-01-02,42.77571428571429,348.42857142857144,0.8087325908901839,0.02571428571428669,24346.27076932173
2016-01-03,42.74666666666667,331.3333333333333,0.7391080859728176,0.02904761904761699,21158.594998761044
2016-01-04,42.71857142857142,315.0,0.7077619362020562,0.028095238095247055,19262.448855675164
2016-01-05,42.74142857142857,328.57142857142856,0.7443209106107611,0.02285714285714846,21130.207336652922
2016-01-06,42.77285714285715,358.7142857142857,0.824383588485466,0.031428571428577357,25550.04989647961
2016-01-07,42.787142857142854,381.42857142857144,0.8722227023371539,0.014285714285705353,28744.472965250483
2016-01-08,42.80375,389.375,0.9224803321636416,0.01660714285714704,31034.083334649233
2016-01-09,42.81,392.2857142857143,0.9319324290051529,0.006250000000001421,31586.43846916574
2016-01-10,42.76875,373.0,0.8825355927741589,0.041250000000005116,28441.651055451373
2016-01-11,42.69285714285714,338.2857142857143,0.7943730576365047,0.0758928571428541,23217.84494310746
2016-01-12,42.6825,333.625,0.7775322143042762,0.010357142857145618,22412.521583763624
2016-01-13,42.74571428571429,362.14285714285717,0.8433973721256071,0.06321428571429522,26389.180861777
2016-01-14,42.75333333333333,365.8333333333333,0.8610707471372772,0.007619047619037644,27216.724175515057
2016-01-15,42.74125,360.125,0.8365591154291278,0.012083333333329449,26029.369564754226
2016-01-16,42.73571428571428,357.7142857142857,0.8366251198163267,0.005535714285720417,25857.166217390728
2016-01-17,42.678333333333335,331.8333333333333,0.7776242683389198,0.05738095238094587,22294.798822984165
2016-01-18,42.68,332.57142857142856,0.7806514383471715,0.0016666666666651508,22431.372255428487
2016-01-19,42.748333333333335,363.5,0.8644791971806497,0.06833333333333513,27150.179458334358
2016-01-20,42.7475,363.125,0.8490075354319728,0.0008333333333325754,26636.762416642716
2016-01-21,42.7475,363.125,0.8810793591989761,0.0,27642.983815508676
2016-01-22,42.67142857142857,328.85714285714283,0.8069853735047537,0.07607142857143145,22929.082927915184
2016-01-23,42.60333333333333,299.5,0.6860946406879885,0.0680952380952391,17753.933798154943
2016-01-24,42.43333333333333,265.5,0.585979322457595,0.1700000000000017,13441.896873719264
2016-01-25,42.445,253.33333333333334,0.5908840126219839,0.011666666666670267,12933.269268269985
2016-01-26,42.501666666666665,260.3333333333333,0.7318807999727303,0.05666666666666487,16462.048457626628
2016-01-27,42.538333333333334,273.8333333333333,0.6724125508628337,0.036666666666668846,15908.743023373954
2016-01-28,42.501666666666665,260.1666666666667,0.7343985178041219,0.036666666666668846,16508.103642608177
2016-01-29,42.574285714285715,263.42857142857144,0.7353195676345632,0.07261904761904958,16736.04143240669
2016-01-30,42.68571428571429,296.2857142857143,0.7820109386150564,0.11142857142857565,20018.765047115856
2016-01-31,42.65,277.3333333333333,0.7301283349367522,0.035714285714291805,17495.043110420484
2016-02-01,42.63142857142857,268.57142857142856,0.7033941252497538,0.018571428571426907,16321.959221795429
2016-02-02,42.715714285714284,313.2857142857143,0.7568966538021501,0.08428571428571274,20487.59212264188
2016-02-03,42.71333333333334,313.0,0.8069600298085425,0.0023809523809461552,21822.781478118377
2016-02-04,42.66,282.625,0.68822403617854,0.05333333333334167,16805.605094636532
2016-02-05,42.63,279.1666666666667,0.7455378358734639,0.02999999999999403,17982.37260126795
2016-02-06,42.56333333333333,315.5,0.7856803798496633,0.06666666666666998,21417.018610397943
2016-02-07,42.52666666666667,304.1666666666667,0.7461495090989961,0.03666666666666174,19608.809099121623
2016-02-08,42.49285714285714,293.85714285714283,0.6949492013000579,0.03380952380953062,17644.243973030363
2016-02-09,42.457142857142856,283.7142857142857,0.7164676823531695,0.0357142857142847,17562.710886007615
